ins,model,time,groundsize
instrectL4_34_4,0+,199.995,2123
instrectL4_34_8,1+,106.714,2123
instrectL4_34_9,1+,196.613,2123
instrectL4_36_5,1+,75.480,2119
instrectL4_36_8,1+,121.555,2119
instrectL4_38_0,1+,126.032,2115
instrectL4_38_4,0+,199.996,2115
instrectL4_38_6,1+,47.387,2115
instrectL4_38_7,1+,5.337,2115
instrectL4_38_8,0+,199.995,2115
instrectL4_40_0,1+,43.158,2111
instrectL4_40_7,1+,161.032,2112
instrectL4_40_8,1+,78.644,2111
instrectL4_41_0,0,0.002,1916
instrectL4_41_1,0,0.004,1919
instrectL4_41_5,1+,9.773,1918
instrectL4_42_0,1+,0.777,2107
instrectL4_44_0,1+,17.630,2103
instrectL4_4_5,0+,199.995,2183
instrectL4_4_6,1+,64.471,2183
instrectL4_4_7,0+,199.996,2183
instrectL4_4_8,0+,199.996,2183
instrectL4_48_5,1+,34.539,2095
instrectL4_48_9,1+,129.483,2095
instrectL4_50_8,1+,51.401,2091
instrectL4_60_7,0,43.844,2071
instrectL4_60_9,1+,141.989,2071
instrectL4_6_1,1+,29.232,2179
instrectL4_61_0,0,24.329,1877
instrectL4_61_13,0,42.533,1878
instrectL4_61_4,0,64.799,1877
instrectL4_62_2,0,138.707,2067
instrectL4_71_12,0,43.529,1857
instrectL4_71_2,0,20.511,1857
instsquare12_13_17,1+,14.652,1605
instsquare12_16_10,1+,13.459,1599
instsquare12_16_4,1+,15.008,1599
insttri200_101_10,1+,1.031,2569
insttri200_101_7,1+,11.847,2570
insttri200_101_8,1+,0.126,2569
insttri200_1_1,1+,0.032,2809
insttri200_111_3,1+,133.479,2549
insttri200_11_5,1+,0.938,2749
insttri200_1_2,1+,2.834,2809
insttri200_121_3,0+,199.993,2529
insttri200_121_5,1+,94.500,2529
insttri200_131_10,1+,8.383,2510
insttri200_131_4,1+,0.227,2509
insttri200_131_6,1+,15.631,2509
insttri200_141_3,1+,0.123,2489
insttri200_141_6,1+,64.689,2489
insttri200_141_7,1+,9.191,2490
insttri200_151_5,0+,199.995,2469
insttri200_161_1,1+,1.174,2449
insttri200_161_5,1+,31.611,2449
insttri200_17_1,1+,88.871,2777
insttri200_171_6,1+,23.738,2430
insttri200_17_2,1+,53.836,2777
insttri200_1_9,0+,199.996,2769
insttri200_21_7,0+,199.996,2729
insttri200_221_2,1+,3.430,2329
insttri200_25_1,1+,0.117,2761
