ins,model,time,groundsize
insttri200_49_1,1+,3.293,3473
insttri200_49_2,0+,199.991,3472
insttri200_51_1,1+,63.319,3424
insttri200_51_10,1+,95.192,3425
insttri200_51_5,1+,105.416,3425
insttri200_51_6,1+,156.507,3425
insttri200_51_9,1+,117.681,3425
insttri200_57_1,0+,199.992,3456
insttri200_57_2,1+,0.211,3456
insttri200_61_10,1+,50.251,3405
insttri200_65_1,0+,199.993,3441
insttri200_65_2,1+,0.904,3441
insttri200_71_10,1+,133.098,3385
insttri200_71_3,1+,73.513,3385
insttri200_73_1,1+,1.210,3424
insttri200_73_2,0+,199.994,3425
insttri200_81_1,1+,10.241,3408
insttri200_81_10,1+,77.824,3365
insttri200_81_2,0+,199.993,3408
insttri200_81_8,1+,56.518,3364
insttri200_81_9,1+,82.805,3365
insttri200_89_1,0+,199.993,3392
insttri200_9_1,1+,0.371,3553
insttri200_91_5,1+,35.297,3343
insttri200_91_6,1+,61.609,3345
insttri200_9_2,1+,0.966,3553
insttri2010_141_0,1+,149.338,4344
insttri2010_181_6,1+,41.100,4263
insttri2010_191_7,1+,51.312,4243
insttri2010_191_9,1+,150.669,4243
insttri2010_271_2,1+,140.337,4081
insttri2010_291_0,1+,80.477,4044
insttri2010_301_4,1+,184.056,4022
insttri2010_51_5,1+,134.256,4523
insttri240_1_1,1+,0.246,4365
insttri240_1_2,0+,199.992,4365
insttri240_17_1,1+,1.630,4332
insttri240_17_2,1+,1.123,4333
insttri240_25_1,1+,0.994,4317
insttri240_25_2,1+,2.360,4317
insttri240_33_1,1+,1.032,4301
insttri240_33_2,1+,1.024,4301
insttri240_41_2,0+,199.991,4285
insttri240_49_1,1+,0.156,4269
insttri240_49_2,1+,2.518,4268
insttri240_57_1,1+,0.168,4253
insttri240_57_2,1+,0.121,4252
insttri240_65_1,0+,199.991,4237
insttri240_65_2,0+,199.991,4236
insttri240_73_1,1+,3.685,4221
insttri240_73_2,0+,199.992,4221
insttri240_81_1,1+,9.433,4205
insttri240_81_2,1+,13.912,4204
insttri240_89_1,0+,199.992,4187
insttri240_89_2,1+,118.432,4188
insttri240_9_1,1+,0.160,4349
insttri240_9_2,1+,1.989,4349
insttri280_1_1,1+,5.750,5241
insttri280_1_2,1+,3.389,5241
insttri280_17_1,1+,8.485,5209
insttri280_17_2,1+,8.809,5208
insttri280_25_1,1+,0.365,5193
insttri280_25_2,1+,3.964,5193
insttri280_33_1,0+,199.990,5177
insttri280_33_2,1+,0.190,5176
insttri280_41_1,1+,22.171,5161
insttri280_41_2,1+,0.421,5161
insttri280_49_1,1+,5.267,5145
insttri280_49_2,1+,8.885,5145
insttri280_57_1,1+,3.195,5129
insttri280_57_2,1+,0.429,5129
insttri280_65_1,1+,30.167,5112
insttri280_65_2,1+,8.126,5112
insttri280_73_1,1+,3.631,5097
insttri280_73_2,1+,10.483,5096
insttri280_81_1,0+,199.990,5081
insttri280_81_2,0+,199.990,5081
insttri280_89_1,1+,8.110,5064
insttri280_89_2,1+,17.055,5065
insttri280_9_1,1+,18.135,5225
insttri280_9_2,1+,3.486,5225
insttri3010_301_0,0+,199.989,5942
insttri3010_301_2,0+,199.989,5940
insttri3010_301_3,0+,199.989,5941
insttri3010_301_5,0+,199.989,5940
insttri3010_301_6,0+,199.989,5942
insttri3010_301_7,0+,199.990,5937
insttri3010_301_8,0+,199.990,5937
insttri3010_311_0,0+,199.990,5920
insttri3010_311_3,1+,137.491,5922
insttri3010_311_4,0+,199.990,5919
insttri3010_311_7,1+,70.983,5918
insttri3010_311_8,0+,199.989,5921
insttri320_1_1,1+,9.379,5709
insttri320_1_2,1+,14.868,5709
insttri320_17_1,1+,3.885,5677
insttri320_17_2,1+,1.385,5677
insttri320_25_1,1+,3.371,5660
insttri320_25_2,1+,0.524,5661
insttri320_33_1,1+,2.180,5645
insttri320_33_2,0+,199.988,5644
insttri320_41_1,1+,0.113,5629
insttri320_41_2,1+,6.779,5629
insttri320_49_1,1+,7.042,5613
insttri320_49_2,1+,12.210,5613
insttri320_57_1,1+,5.728,5597
insttri320_57_2,1+,3.728,5596
insttri320_65_1,1+,7.507,5581
insttri320_65_2,1+,0.558,5581
insttri320_73_1,1+,84.017,5564
insttri320_73_2,1+,4.401,5565
