algorithm,instance_id,runtime
ham4,insttri2010_271_2,33.453
ham4,insttri2010_291_0,199.995
ham4,insttri2010_301_4,32.519
ham4,insttri2010_51_5,11.078
ham4,insttri240_1_1,199.995
ham4,insttri240_1_2,199.995
ham4,insttri240_17_1,199.995
ham4,insttri240_17_2,182.484
ham4,insttri240_25_1,48.318
ham4,insttri240_25_2,199.995
ham4,insttri240_33_1,10.976
ham4,insttri240_33_2,199.995
ham4,insttri240_41_2,199.995
ham4,insttri240_49_1,199.995
ham4,insttri240_49_2,199.995
ham4,insttri240_57_1,199.995
ham4,insttri240_57_2,94.104
ham4,insttri240_65_1,101.722
ham4,insttri240_65_2,199.995
ham4,insttri240_73_1,199.995
ham4,insttri240_73_2,126.147
ham4,insttri240_81_1,199.994
ham4,insttri240_81_2,93.914
ham4,insttri240_89_1,199.994
ham4,insttri240_89_2,199.995
ham4,insttri240_9_1,199.995
ham4,insttri240_9_2,199.995
ham4,insttri280_1_1,199.995
ham4,insttri280_1_2,199.995
ham4,insttri280_17_1,199.995
ham4,insttri280_17_2,199.995
ham4,insttri280_25_1,199.995
ham4,insttri280_25_2,199.994
ham4,insttri280_33_1,199.988
ham4,insttri280_33_2,199.994
ham4,insttri280_41_1,199.995
ham4,insttri280_41_2,199.995
ham4,insttri280_49_1,199.994
ham4,insttri280_49_2,199.995
ham4,insttri280_57_1,199.995
ham4,insttri280_57_2,199.995
ham4,insttri280_65_1,199.994
ham4,insttri280_65_2,199.994
ham4,insttri280_73_1,199.995
ham4,insttri280_73_2,199.992
ham4,insttri280_81_1,199.991
ham4,insttri280_81_2,199.992
ham4,insttri280_89_1,199.984
ham4,insttri280_89_2,199.993
ham4,insttri280_9_1,199.995
ham4,insttri280_9_2,199.937
ham4,insttri3010_301_0,199.971
ham4,insttri3010_301_2,199.988
ham4,insttri3010_301_3,199.974
ham4,insttri3010_301_5,199.974
ham4,insttri3010_301_6,199.955
ham4,insttri3010_301_7,199.989
ham4,insttri3010_301_8,199.989
ham4,insttri3010_311_0,199.952
ham4,insttri3010_311_3,199.949
ham4,insttri3010_311_4,199.970
ham4,insttri3010_311_7,199.990
ham4,insttri3010_311_8,199.991
ham4,insttri320_1_1,199.992
ham4,insttri320_1_2,199.991
ham4,insttri320_17_1,199.975
ham4,insttri320_17_2,199.981
ham4,insttri320_25_1,199.964
ham4,insttri320_25_2,199.895
ham4,insttri320_33_1,199.994
ham4,insttri320_33_2,199.965
ham4,insttri320_41_1,199.990
ham4,insttri320_41_2,199.992
ham4,insttri320_49_1,199.991
ham4,insttri320_49_2,199.994
ham4,insttri320_57_1,199.990
ham4,insttri320_57_2,199.991
ham4,insttri320_65_1,199.986
ham4,insttri320_65_2,199.991
ham4,insttri320_73_1,199.992
ham4,insttri320_73_2,199.991
ham4,insttri320_81_1,199.990
ham4,insttri320_81_2,199.995
ham4,insttri320_89_1,199.988
ham4,insttri320_89_2,199.991
ham4,insttri320_9_1,199.991
ham4,insttri320_9_2,199.964
ham4,insttri360_1_1,199.990
ham4,insttri360_1_2,199.989
ham4,insttri360_17_1,199.995
ham4,insttri360_17_2,199.952
ham4,insttri360_25_1,199.990
ham4,insttri360_25_2,199.989
ham4,insttri360_33_1,199.989
ham4,insttri360_33_2,199.968
ham4,insttri360_41_1,199.925
ham4,insttri360_41_2,199.989
ham4,insttri360_49_1,199.994
ham4,insttri360_49_2,199.938
ham4,insttri360_57_1,199.990
ham4,insttri360_57_2,199.990
ham4,insttri360_65_1,199.989
ham4,insttri360_65_2,199.980
ham4,insttri360_73_1,199.989
